system,basis,label,R,N,variant,basis_type,raw_dim,eff_dim,n_discarded,eff_frac,gs_total,E_exact,gs_err,s_min,s_max,cond_S,h_min_abs,h_max_abs,cond_H,h_reg_min_abs,cond_H_reg,n_kept_S,S_singular,H_singular
H2+H2,sto-3g,STO-3G,1.1,5,joint,lanczos_orthogonal,5,5,0,1.0,-1.6272870857099333,-1.6275158749550256,0.00022878924509228682,1.0,1.0000000000000002,1.0000000000000002,0.6257511861076213,5.767545987416859,9.216995693276903,0.6257511861076214,9.216995693276901,5,False,False
H2+H2,sto-3g,STO-3G,1.1,5,novel,lanczos_orthogonal,25,25,0,1.0,-1.6275126022136082,-1.6275158749550256,3.2727414174260616e-06,0.9999999999700241,1.0000000000299718,1.0000000000599478,0.004100845402363854,5.767771503920544,1406.4835266883806,0.004100845402364227,1406.4835266882524,25,False,False
H2+H2,sto-3g,STO-3G,1.1,6,hybrid,lanczos_orthogonal,32,32,0,1.0,-1.6275158749550211,-1.6275158749550256,4.440892098500626e-15,0.9999999932498405,1.0000000067501569,1.0000000135003164,4.31719996023498e-15,5.767774776662032,1335998987720758.2,5.1920203591576845e-15,1110892172541049.6,32,False,True
H2+H2,sto-3g,STO-3G,1.1,6,joint,lanczos_orthogonal,6,6,0,1.0,-1.6274739458340006,-1.6275158749550256,4.1929121024963933e-05,0.9999999999999993,1.0000000000000004,1.000000000000001,0.06282378005527324,5.767732847540922,91.80811537392991,0.06282378005527123,91.80811537393286,6,False,False
H2+H2,sto-3g,STO-3G,1.1,6,novel,lanczos_orthogonal,32,32,0,1.0,-1.6275158749550211,-1.6275158749550256,4.440892098500626e-15,0.9999999932498405,1.0000000067501569,1.0000000135003164,4.31719996023498e-15,5.767774776662032,1335998987720758.2,5.1920203591576845e-15,1110892172541049.6,32,False,True
H2+H2,6-31g,6-31G,1.1,1,hybrid,lanczos_orthogonal,2,2,0,1.0,-1.7597313597023412,-1.7784790763094867,0.01874771660714547,1.0,1.0,1.0,2.576812352736587,5.899990261409265,2.2896468402689263,2.5768123527365865,2.289646840268926,2,False,False
H2+H2,6-31g,6-31G,1.1,1,joint,lanczos_orthogonal,1,1,0,1.0,-1.7185564260687674,-1.7784790763094867,0.0599226502407193,1.0,1.0,1.0,5.85881532777569,5.85881532777569,1.0,5.85881532777569,1.0,1,False,False
H2+H2,6-31g,6-31G,1.1,1,novel,lanczos_orthogonal,1,1,0,1.0,-1.7185564260687674,-1.7784790763094867,0.0599226502407193,1.0,1.0,1.0,5.85881532777569,5.85881532777569,1.0,5.85881532777569,1.0,1,False,False
H2+H2,6-31g,6-31G,1.1,2,hybrid,lanczos_orthogonal,6,6,0,1.0,-1.7714788468955627,-1.7784790763094867,0.007000229413923975,0.9999999999998972,1.0000000000001155,1.0000000000002183,0.9142357032981216,5.911737748602487,6.466316866947754,0.9142357032981212,6.466316866947758,6,False,False
H2+H2,6-31g,6-31G,1.1,2,joint,lanczos_orthogonal,2,2,0,1.0,-1.7597313597023412,-1.7784790763094867,0.01874771660714547,1.0,1.0,1.0,2.576812352736587,5.899990261409265,2.2896468402689263,2.5768123527365865,2.289646840268926,2,False,False
H2+H2,6-31g,6-31G,1.1,2,novel,lanczos_orthogonal,4,4,0,1.0,-1.760255452697792,-1.7784790763094867,0.018223623611694606,0.9999999999999317,1.0000000000000822,1.0000000000001505,2.316008974400143,5.900514354404711,2.547707897346543,2.3160089744001415,2.5477078973465432,4,False,False
H2+H2,6-31g,6-31G,1.1,3,hybrid,lanczos_orthogonal,12,12,0,1.0,-1.7725571886836313,-1.7784790763094867,0.005921887625855327,0.9999999999890637,1.0000000000109954,1.0000000000219318,0.15875349535202601,5.912816090390579,37.24526554378709,0.15875349535202452,37.24526554378745,12,False,False
H2+H2,6-31g,6-31G,1.1,3,joint,lanczos_orthogonal,3,3,0,1.0,-1.7707180588539,-1.7784790763094867,0.007761017455586661,1.0,1.0000000000000007,1.0000000000000007,0.03533410004578884,5.910976960560824,167.28817071613236,0.03533410004578884,167.28817071613236,3,False,False
